Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2015-09-02 09:45:47.262 -0600,"Success",0:00:00,0,0,0,"20150902_094547.262/LogFile.txt","","",1
2015-09-02 09:48:50.050 -0600,"Success",0:00:00,0,0,0,"20150902_094850.050/LogFile.txt","","",1
