Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
james,Success,2,0,2015-09-02 09:45:47 -0600,2015-09-02 09:48:50 -0600,0:00:00
master,Success,2,0,2015-09-02 09:45:47 -0600,2015-09-02 09:48:49 -0600,0:00:01
